id,label
370622335,cicakkejepit
374499593,syafirarizkan
376601151,smartfrencare
377253347,2020nikah
377376551,lotparampa
385847559,diasvngkas
388732476,aini9official
388745372,alfiliaazani
390463409,gabrielsnpr
391822747,TegarSeptyo
392392573,joe_ebbad
392540370,MFirmanuddinDj
392693335,Khalizazhrr
393354393,adityabramasta
393387753,Helianthusisme
393823624,kemdikbud
396349387,fwlaan
399908198,Indadaaw
405207567,Ayu_Triwardani
408347904,paracetamoan
409745359,kiasleo
417802187,faizuddaroyin
420414709,miftahfaridmh
420947212,mekarperkasa_mr
425713595,anbarnsrn
432398107,megandikka
432507102,fia
439873216,pariz_TGR
440539804,angelinaclara
442431871,kepoteruss
445979674,Quick
446085902,gayuh_ha16
446186741,ammaryf
453158328,imtearexx
456426648,merdekadotcom
458256189,leebawole
460213204,dmrgalihrahma
462753214,mimiweeka
463548010,sl33pytink3r
466318389,apriyaniDr
469164572,KEMENDIKBUD
470280564,douniee
471658915,favonim
477713865,indrasuputra
479491094,spancerfox
480224156,myXLCare
484490033,Kota_Tangerang
487257216,prdn_yogaa
488396384,aliciamilea
490466901,namayass
493750045,HiiiLee
498888857,sitisuhart
499773390,gempalpadas
509191188,sejak_1988
512650978,empuss_
512719709,meilaniscprtw
517464711,lisanoona93
518114311,Gebiby
519276267,bemkmunnes
528152529,abi_igun
529165284,ImamRzQ
531874250,Owl_lia
532083441,megalllvn
536265074,agung_wahyudi15
540657890,ParamaDinaC
540721571,nndrfaal
544135266,jeongin9798
544923250,yunayah21_
547379032,zalmaretar
548387924,dhiskapurnama
548904824,IndosatCare
549224093,wawyuesa
549854969,ulfahdh_
550767533,Zieeeta_
554410962,putrimutiarapm
554868621,lifta_
555870705,BambangSetyadix
556115232,takopedia
561854365,davaaaaa
562883937,masayuuputri
564544024,cwemandiri_soon
568999509,kusuka_thaitea
571626410,CWRawakadang
572613285,belajarceriaooo
573216713,SYeranto
573508257,KoranTEGAL
577757039,sitaamelia2
580648404,iqlimahm
580898398,meiymd09
581492324,ekakunjeri
582426192,much_rozaq
589687384,ovienndt
591452134,fangurlycious
593664274,celvinpratama2
594594508,_rochmathpras
595403087,aishaadelia
596932709,jidatqlowing
599251525,1nohon9
604209448,alviatuls
611711151,vendemprastyo
612277839,baguswick_
624694353,faiza_fahriz
627868391,thiccguel
631662994,SeptiDr
632797119,makiukiu
633015497,telurcrispy
634159957,sayfull46
634594503,ardaajaa
635344986,indranggadinata
635867144,rezzamyuana
636687995,ghinadila
715667594,Juniorternama
719254478,MahasiswaUMS
723622033,MenorehMedia
725092290,dojaehyn
725430920,sukmadara1
725501270,fariszak27
726755455,i_themelons
728318395,rainyisrain3003
731877853,darmansu
735778879,reddwaarf
741330930,madawa_
745558237,YasinGalih
751981962,SumardiEvulae
760955376,BEMUNS
761552058,TiaraRose
779784931,MichellaOey1
788222900,nblkamilia
790856528,Polibatam
800321982,suci_rs
805068750,Koala9
812247552,yunisztya
821295300,FIr
827229247,dheaa_wd
830608387,NurKhabsyin
835389409,cutpikai
840088645,BudakGarut_
851084756,FirzaVgz
854709638,rnaksm
871084574,asxasta
871428672,ayls84
878946816,dadargulunkk
885850874,blackpink828
888478394,ardarizkyy
888709182,fadel_ibram
890217062,bud1ana
912424368,riyadi_003
914185698,armstrongRd
918477942,lgala12
929662543,mutia_anisaa
939078812,DGALC213
940748424,_dnani
949184846,budayasaya
949983288,ivansofiyan_
957482702,indoict
971225875,pyroxmite
981989275,arbillahjiwadi
993091262,KapitanDanar
998969766,rksky_
1004156420,yyhenrn
1009190538,masukptn_com
1016648173,heririskianto15
1023114824,jubidotcom
1027834052,milleniangela
1032065666,jabangbayiii
1039639872,mula_hastuti
1044224018,deyna_yulian
1057591645,KhairulumamID
1079893982,HalfDemon
1100354280,hanbinawdz
1115697384,lompyah
1122062148,shandrav_
1127900192,Sabrinaaegea
1130539621,FirliaRezqianiH
1141379233,KemdikbudRI
1159294639,yaudah_iyadeh
1159450256,jessonggggg
1161560984,ihirfahan
1163670650,pedoman
1170725258,djikp
1171388755,lattetrash
1209644431,dwyt_farm
1218102564,johnnn_ah
1228780418,gprabnsk
1239030710,ERDEFAS
1252070918,kotaklema
1258989740,Astrayesa
1272474127,LuthfiaRFarida
1276346304,radarbogorID
1286371459,sekotakawan
1297533746,yudhoarerihan
1304113243,marcellyudhiz
1306245612,rieke_aw
1312475174,galihxedgex
1313449730,harisars_
1322221722,mhabibmh
1328684875,wldkz98
1344119798,__lelaamuslimin
1351146206,iam_syaff
1360123916,ayundahai
1366791030,falc0bino
1372201550,farstuv
1374218318,zulfikrivokal
1383296580,GelgasAirlangga
1384483754,HishigiKuzuryu
1394171874,perayaism
1396571928,FareezH
1408025444,Cak_X01
1414962122,aistiq
1421961343,asweetpeach_
1440898064,ind0mierendank
1442658204,chaaciii
1446152389,pennceeng
1453648622,arrbis27
1482254538,unsrifess
1490116879,cakimiNOW
1496061276,resteavecmoi
1497761209,aisyaahua
1507066362,aprasing
1519839584,patmono98
1521128862,_singlewoles_
1523820925,Wahyoenam
1524416606,TokAlberttok24
1530836610,sagitariups
1542749965,MartheDFlorian
1555967400,epafrasilwanus
1562201468,rlthingy
1562980801,BangSuhan
1577068981,paaawrent
1582231352,AlfianSyahbari
1594481414,imanarya192
1607447598,MRohman1978
1607486988,didiet94
1619430174,zyiedl
1634551123,primachyy
1637297856,yeniyenonk
1637473135,ailsamellyana_
1642806133,rnrfakhri
1649606504,dngwijonarko
1659294566,Anistriaryanti
1661531498,tetehmanisanget
1664608862,TsTsp71
1673682660,melanill_
1677409310,getawaymadafaka
1687108519,iqbaladhityaa
1687719397,dewpresi
1690771675,tinypjm
1693403720,akhlak404
1695830533,masukOngin
1698237368,Eajluyaa
1706546101,RinaldiHRP
1721632046,lafleurdenana
1729592713,edisonlismar
1799440374,brlnptr
1799511535,IlhamAfie
1851390476,sweetdonutsss
1863148884,syahrialdoli
1866224887,AidaNisa6
1898000406,lintalinarni
1904964794,hasanuddin
1932992576,RiyoDeHa
1962865280,zombieast
1963793131,hajima__hajima
1966621470,tzkzzhaf
1968524857,SiAhmadi
1968554167,cl4ssyme
1970421200,ramadhankholis
2159271934,siscaermaa
2164691767,ditonewroman
2166258811,Kani_Yunara
2177595727,gsnyfa
2177684286,RadioItjen
2178259356,ginanjar_oioi
2184200894,iyadehhiyaa
2187512586,soto_kikil
2191873495,perpusdikbud
2205285126,ekaaabcd
2213205842,benwill04
2233817286,bucinkebab
2235560215,astro_rizki
2241693296,JajangRidwanK
2245005821,sempakkubiruu
2246109643,dyahparamoreID
2274323036,Kiki_Alhamra
2275398032,meijunijuly
2281841341,BAA_UMM
2283193362,bobaxmilk
2290703454,greenoreoo
2290871040,andrewfangidae
2292588696,daymeninthesky
2295572846,Ainieciousone
2313143816,borjuwysh
2313672350,Iqbalqubil20
2315067812,Aat_29
2340702241,FebiSuryaWiguna
2351333924,septidr_06
2372116789,c321231c
2390183970,vie_chiancu
2392460208,jawapos
2404776824,yevanov
2405996178,arzabila
2419932986,cindyrwella
