,Community,Size of Community
190,"['beautiful_bl00m', 'rainyisrain3003']",2
191,"['user_not_found', 'TegarSeptyo']",2
192,"['captbahng', '1315now']",2
193,"['cheesecakeyumy', 'rksky_']",2
194,"['chaniebng', 'wsirdiyxaa']",2
195,"['Moh4Ridloh', 'jabangbayiii']",2
196,"['luckygurlsy', 'sbmptnfess']",2
197,"['lavenleen', 'benhayb']",2
198,"['ruankrindu', 'resimarlin']",2
199,['metrobali'],1
200,['tribunnews'],1
201,['indoict'],1
202,['teropongmetro'],1
203,['radarbogorID'],1
204,['LanggamID'],1
