,Community,Size of Community
10,"['M1kailAn', 'icharis', 'akuluka', 'sofiesyarief', 'KompasTV']",5
11,"['MSyahrirBangsa1', 'iim666', 'graceisadisgrc', 'dekkeyulia', 'tempodotco']",5
12,"['roelummah', 'beccarenata', 'kumparan', 'rudy_susana', 'user_not_found']",5
13,"['Kabare_Malang', 'abuyyusrina', 'dispendikmlgkab', 'da_vi_to']",4
14,"['Yolooey', 'user_not_found', 'terseog', 'bijikucingku']",4
15,"['Martabak_teloor', 'masagust9', 'tina_L03', 'edhie']",4
16,"['MeongGumball', 'AREAJULID', 'gprabnsk', 'Mahdifajrii']",4
17,"['HayuTarisa', 'aistiq', 'llzhns', 'myXL']",4
18,"['metychocho', 'AKidddd', 'ekakunjeri']",3
19,"['sstarsbluesky', 'user_not_found', 'dibalikbatu_']",3
20,"['user_not_found', 'repaldiiiii', 'user_not_found']",3
21,"['user_not_found', 'user_not_found', 'BangKarto86']",3
22,"['_dnani', 'Naunaback', 'bububaekhyun_']",3
23,"['mula_hastuti', 'KemdikbudRI', 'anggiedwidowati']",3
24,"['ask', 'Adhyxblood', 'fitrajatmiko_']",3
25,"['fadilahrizqaaaa', 'lexspecialish', 'luxsarryy']",3
26,"['rahasiabundaa', 'sapasiiiiii', 'siscaermaa']",3
27,"['akhyaru_thoha', 'bimawa', 'klik']",3
28,"['awanbiru1105', 'Nojutsu__', 'getawaymadafaka']",3
29,"['user_not_found', 'masmasjawabgt', 'youcancallmeff_']",3
30,"['syfgmnstn', 'WRahMada', 'MataNajwa']",3
31,"['smpn1patean', 'disdikbudkendal', 'Ratnade71207518']",3
32,"['pariz_TGR', 'kupastuntasnew', 'YouTube']",3
33,"['user_not_found', 'paracetamoan', 'Nurburuuj']",3
34,"['urvoldy', 'buih', 'itssuptomeee']",3
35,"['wijenss', 'DraftAnakUnpad', 'fillecultivee']",3
36,"['vrggga', 'polbanfess', 'astro_rizki']",3
37,"['merdekadotcom', 'BambangSetyadix', 'novitamnesia']",3
38,"['starxnv', 'lilsdw00n', 'nnotshy']",3
39,"['halimahzahrra', 'kittckatto', 'subschfess']",3
40,"['ind0mierendank', 'Ch0c00re0', 'gsnyfa']",3
41,"['roseaharu', 'user_not_found', 'jnkyuubbyy']",3
42,"['riangurs', 'fia', 'gayuh_ha16']",3
43,"['mydayxhan', 'mifda20', 'UnivTerbuka']",3
44,"['mvencaloree', 'WLM']",2
45,"['yallsucks', 'pemujakerang_']",2
46,"['JeKaTe42', 'AAN']",2
47,"['blackpinkriego', 'okezonenews']",2
48,"['athayazz', 'geraldianaa']",2
49,"['anggrd06', 'almakaochi']",2
50,"['zulvanmadania', 'hepiprayudiawan']",2
51,"['yoaan18_', 'deamoekti']",2
52,"['artoogy', 'oryza']",2
53,"['beritaKBR', 'udabalink']",2
54,"['RirisMaulidiyah', 'Ayu_Triwardani']",2
55,"['user_not_found', 'VIVAcoid']",2
56,"['maifil', 'znewsid']",2
57,"['imtearexx', 'mayasukasemua']",2
58,"['332Channel', 'kniukemdikbud']",2
59,"['rrahadiansyah1', 'bungaardyn']",2
60,"['jubidotcom', 'victorcmambor']",2
61,"['_ikaaan', 'COxCOBASE']",2
